Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,PM2.5,NC0.5,NC1.0,NC2.5,Fire Alarm
20.132,52.46,0.0,400.0,12453.0,19195,939.756,0.9,3.78,0.0,4.369,2.78,0
20.146,52.15,0.0,400.0,12454.0,19230,939.757,0.89,3.71,0.0,4.289,2.73,0
20.161,51.84,0.0,400.0,12467.0,19264,939.754,0.84,3.51,0.0,4.053,2.58,0
20.175,51.62,0.0,400.0,12467.0,19299,939.755,0.81,3.38,0.0,3.909,2.488,0
20.19,51.39,0.0,400.0,12469.0,19317,939.758,0.74,3.11,0.0,3.588,2.2840000000000003,0
20.204,51.17,0.0,403.0,12468.0,19338,939.742,0.71,2.96,0.0,3.419,2.176,0
20.219,50.99,0.0,400.0,12475.0,19362,939.741,0.64,2.66,0.0,3.077,1.959,0
20.233,50.86,0.0,400.0,12480.0,19382,939.758,0.6,2.52,0.0,2.908,1.851,0
20.248,50.66,0.0,400.0,12477.0,19400,939.764,0.53,2.23,0.0,2.58,1.642,0
20.262,50.49,0.0,400.0,12481.0,19422,939.761,0.5,2.1,0.0,2.423,1.5419999999999998,0
20.277,50.27,0.0,406.0,12489.0,19451,939.752,0.41,1.72,0.0,1.987,1.265,0
20.291,50.15,0.0,400.0,12491.0,19456,939.729,0.38,1.6,0.0,1.855,1.18,0
20.305,50.02,0.0,400.0,12487.0,19470,939.741,0.33,1.39,0.0,1.61,1.024,0
20.32,49.96,0.0,400.0,12492.0,19489,939.756,0.31,1.3,0.0,1.497,0.953,0
20.334,49.83,0.0,415.0,12495.0,19489,939.764,0.27,1.12,0.0,1.291,0.821,0
20.348,49.76,0.0,400.0,12498.0,19503,939.77,0.25,1.04,0.0,1.197,0.762,0
20.363,49.65,0.0,401.0,12499.0,19516,939.774,0.21,0.89,0.0,1.026,0.653,0
20.377,49.58,0.0,404.0,12503.0,19525,939.771,0.2,0.82,0.0,0.949,0.604,0
20.391,49.37,30.0,445.0,12478.0,19500,939.771,0.17,0.58,0.14,0.665,0.3979999999999999,0
20.406,49.58,36.0,455.0,12472.0,19487,939.77,0.16,0.56,0.13,0.644,0.385,0
20.42,50.11,20.0,443.0,12471.0,19493,939.775,0.15,0.52,0.12,0.595,0.356,0
